y,x,t,y_image,x_image,retrieval_local_zenith_angle,quantitative_local_zenith_angle,retrieval_solar_zenith_angle,day_solar_zenith_angle,night_solar_zenith_angle,sst_c,time
0.131152,-0.04715199,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,25.555954,2020-07-28T00:30:05.934142976
0.131152,-0.046031993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,23.796757,2020-07-28T00:30:05.934142976
0.131152,-0.04491199,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,25.431433,2020-07-28T00:30:05.934142976
0.131152,-0.025871992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,19.853516,2020-07-28T00:30:05.934142976
0.131152,-0.024751993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,19.813232,2020-07-28T00:30:05.934142976
0.131152,-0.023631994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.664194,2020-07-28T00:30:05.934142976
0.131152,-0.022511993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.645233,2020-07-28T00:30:05.934142976
0.131152,-0.018031994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,19.964012,2020-07-28T00:30:05.934142976
0.131152,-0.016911993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.851395,2020-07-28T00:30:05.934142976
0.131152,-0.011311993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.763489,2020-07-28T00:30:05.934142976
0.131152,-0.010191994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.745178,2020-07-28T00:30:05.934142976
0.131152,-0.004591993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,19.498505,2020-07-28T00:30:05.934142976
0.131152,-0.00011199266,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.915024,2020-07-28T00:30:05.934142976
